id,task,owner,status,priority,target_date,phase,category,notes,dependencies,verification
LI-020,Reply to all comments on Founder Story video post,Robert,not-started,P0,2026-03-06,Phase 2,LinkedIn,"The 2d-old video post has 6 comments — reply to every one within 24h. Algorithm rewards comment threads. Each reply should add value or ask a follow-up question.",LI-W1-WED,"6/6 comments replied to"

# ──────────────────────────────────────────────────────────────
# LINKEDIN CONTENT CALENDAR — 4-WEEK LAUNCH (Phase 3)
# ──────────────────────────────────────────────────────────────
# Week 1: Hook & Humanise
LI-W1-MON,Week 1 Mon — Teaser: The 'Black Box' Problem,Robert,done,P0,2026-03-02,Phase 3,LinkedIn,"Post type: Teaser. Published 2026-03-02. 17+ impressions within minutes. Reposted from Cape Control Company Page. OG image attached.",—,"Post live on LinkedIn"
LI-W1-WED,Week 1 Wed — Founder Story: The Project Manager's Battle,Robert,done,P0,2026-03-04,Phase 3,LinkedIn,"Post type: Founder Story. Published 2026-03-04. Video + text post with founder narrative. Visual: Personal video to camera. Theme: From managing projects to building the tool I wished existed. Engagement as of 2026-03-06: 4 reactions, 6 comments.",—,"Post live on LinkedIn"
LI-W1-FRI,Week 1 Fri — Educational: The Alchemy of Audits (SOP-Anchored Reality),Robert,done,P1,2026-03-06,Phase 3,LinkedIn,"Post type: Educational. Published 2026-03-06. 'The Alchemy of Audits' — why approved-document-only answers matter for regulated teams. Video format (same asset). Published on Company Page (0 followers) + personal profile (626 followers) for dual distribution.",—,"Post live on LinkedIn (both pages)"
# Week 2: Vision & Engage
LI-W2-TUE,Week 2 Tue — Main Vision: CapeControl The Alchemy of AI,Robert,not-started,P0,2026-03-10,Phase 3,LinkedIn,"Post type: Main Vision. Visual: Full Avatar Intro Video (9:16). Goal: Primary launch of the brand vision. Theme: AI that starts calm and scales powerfully.",—,"Post live with video"
LI-W2-THU,Week 2 Thu — Interactive Poll: Biggest AI hurdle in your industry?,Robert,not-started,P1,2026-03-12,Phase 3,LinkedIn,"Post type: Interactive. Visual: LinkedIn Native Poll. Goal: Engage algorithm and gather market intelligence. 4 options: Trust/Compliance/Cost/Complexity.",—,"Poll live on LinkedIn"
LI-W2-SAT,Week 2 Sat — Value Drop: 80% Wise / 20% Wild Explained,Robert,not-started,P1,2026-03-14,Phase 3,LinkedIn,"Post type: Value Drop. Visual: 80/20 Shimmering Graphic. Goal: Explain the brand philosophy — structured reliability with creative edge.",—,"Post live on LinkedIn"
# Week 3: Proof & Credibility
LI-W3-TUE,Week 3 Tue — Technical Proof: The Evidence-First Trace,Robert,not-started,P0,2026-03-17,Phase 3,LinkedIn,"Post type: Technical Proof. Visual: Screen Record of Citation UI. Goal: Show 'Proof of Work' to skeptical devs and ops managers. Theme: Every answer cites its source.",—,"Post live on LinkedIn"
LI-W3-THU,Week 3 Thu — Compliance: Making Red Tape a Spy Thriller,Robert,not-started,P0,2026-03-19,Phase 3,LinkedIn,"Post type: Compliance. Visual: 'Tools Off by Default' Toggle Demo. Goal: Highlight security and control features. Theme: Tools off by default, audit on everything.",—,"Post live on LinkedIn"
LI-W3-FRI,Week 3 Fri — Social Proof: Beta Alchemist Feedback Loop,Robert,not-started,P1,2026-03-20,Phase 3,LinkedIn,"Post type: Social Proof. Visual: Quote Card from early tester. Goal: Validate the platform via peers. Theme: What our first users are saying.",BETA-002,"Post live on LinkedIn"
# Week 4: Convert & Close
LI-W4-MON,Week 4 Mon — Direct Access: The Guided Onboarding Theater,Robert,not-started,P0,2026-03-23,Phase 3,LinkedIn,"Post type: Direct Access. Visual: Video of the Signup Flow. Goal: Drive high-intent Beta signups. Theme: See exactly what happens when you sign up.",BETA-001,"Post live with video"
LI-W4-WED,Week 4 Wed — Q&A/FAQ: Is this just another ChatGPT wrapper?,Robert,not-started,P1,2026-03-25,Phase 3,LinkedIn,"Post type: Q&A/FAQ. Visual: Short 'Headless' Video response. Goal: Handle objections with authority. Theme: 6 agents, approved-source-only RAG, evidence export ≠ wrapper.",—,"Post live on LinkedIn"
LI-W4-FRI,Week 4 Fri — Closing: Mission Briefing — The Month Ahead,Robert,not-started,P0,2026-03-27,Phase 3,LinkedIn,"Post type: Closing. Visual: Candid Founder Video/Photo. Goal: Maintain momentum for the closed Beta. Theme: What we shipped, what's next, join us.",BP-BETA-001,"Post live + registrations tracked"

# ──────────────────────────────────────────────────────────────
# LINKEDIN SUSTAINED CADENCE (Phase 4)
# ──────────────────────────────────────────────────────────────
LI-015,Establish Mon/Wed/Fri posting cadence,Robert,not-started,P1,2026-04-01,Phase 4,LinkedIn,"Mon: founder insight / industry observation. Wed: product feature or demo video. Fri: CTA or engagement post (poll / question / beta invite).",—,"3 posts/week sustained"
LI-016,Create 4 additional LinkedIn videos from Drive assets,Robert,not-started,P2,2026-04-07,Phase 4,LinkedIn,"Rotate remaining Drive assets: CapeControl Intro / Pitch Summary / Security Focus / Onboarding Walkthrough.",—,"4 videos posted over 2 weeks"
LI-017,First LinkedIn performance review,Robert,not-started,P1,2026-04-14,Phase 4,LinkedIn,"Review: impressions/post, profile views/week, connection requests, signups attributed. Adjust posting times + content mix.",—,"Spreadsheet with metrics"

# ──────────────────────────────────────────────────────────────
# BETA PROGRAM (Phase 5)
# ──────────────────────────────────────────────────────────────
BETA-001,Identify 20 target beta users (compliance-heavy SMBs),Robert,not-started,P0,2026-03-06,Phase 5,GTM,"Source from: LinkedIn network, existing contacts, property management, accounting, maintenance, legal. Mix of SA-based and international.",—,"List of 20 names + companies"
BETA-002,Send beta invite emails (batch 1: 10 users),Robert,not-started,P0,2026-03-13,Phase 5,GTM,"Personal email + platform invite. Offer: 'First evidence pack in 14 days' program.",BETA-001,"10 invites sent; track acceptance"
BETA-003,Send beta invite emails (batch 2: 10 users),Robert,not-started,P1,2026-03-20,Phase 5,GTM,"Second batch based on first batch learnings.",BETA-002,"10 invites sent"
BETA-004,Set up beta feedback survey (Typeform),Robert,not-started,P1,2026-03-13,Phase 5,GTM,"Questions: onboarding experience, first value moment, evidence quality, security perception, willingness to pay.",—,"Survey link active"
BETA-005,Weekly beta check-ins (4 weeks),Robert,not-started,P1,2026-03-20,Phase 5,GTM,"15-min calls with active beta users. Track: activation, retention, feature requests, blockers.",BETA-002,"Check-in notes documented"
BETA-006,First beta cohort review (30-day),Robert,not-started,P0,2026-04-14,Phase 5,GTM,"Metrics review: activation rate, 7-day retention, evidence packs generated, NPS, conversion intent.",BETA-005,"Review document with metrics"

# ──────────────────────────────────────────────────────────────
# PAYMENTS & CONVERSION (Phase 7)
# ──────────────────────────────────────────────────────────────
PAY-014,First 5 paying customers,Robert,not-started,P0,2026-04-30,Phase 7,GTM,"Convert beta users to paying Pro subscribers. Target 5 × R529/mo = R2645/mo MRR.",BETA-006,"5 active Pro subscriptions in DB"

# ──────────────────────────────────────────────────────────────
# SCALE & GROWTH (Phase 8)
# ──────────────────────────────────────────────────────────────
SCALE-006,Content marketing system (blog / case studies),Robert,not-started,P2,2026-05-15,Phase 8,GTM,"Publish 2 case studies from beta users. Set up /blog route or external blog (Hashnode/Substack).",BETA-006,"2 case studies published"
SCALE-007,Hire contract engineer #1,Robert,not-started,P2,2026-06-01,Phase 8,Team,"Part-time contract engineer for critical path features. Budget: R37,000/mo.",PAY-014,"Engineer onboarded"

# ──────────────────────────────────────────────────────────────
# KEY MILESTONES & METRICS
# ──────────────────────────────────────────────────────────────
KPI-002,First 100 LinkedIn post impressions,Robert,in-progress,P0,2026-03-04,Milestone,LinkedIn,"Baseline metric from first 3 posts. LI-W1-MON: 17+ impressions. LI-W1-WED (video): 4 reactions + 6 comments (2d). LI-W1-FRI (Alchemy of Audits): 2 reactions (3m). Video format outperforming text. 626 personal followers.",LI-W1-MON,"LinkedIn analytics"
KPI-003,500+ impressions per post average,Robert,not-started,P1,2026-03-20,Milestone,LinkedIn,"Week 3 target. Indicates content resonance.",LI-005,"LinkedIn analytics"
KPI-004,First 10 beta registrations,Robert,not-started,P0,2026-03-27,Milestone,GTM,"From LinkedIn + direct outreach.",BETA-002,"cape-control.com registration count"
KPI-005,First evidence pack generated by beta user,Robert,not-started,P0,2026-04-07,Milestone,Product,"Core value proposition validated.",PROD-004,"Audit log shows export"
KPI-006,First paying customer (Pro plan),Robert,not-started,P0,2026-04-14,Milestone,Revenue,"R529/mo MRR milestone.",PAY-013,"PayFast transaction confirmed"
KPI-007,5 paying customers — R2645 MRR,Robert,not-started,P0,2026-04-30,Milestone,Revenue,"Business Plan Month 6 proxy target.",PAY-014,"5 active subscriptions"
KPI-008,20 active users with 7-day retention >60%,Robert,not-started,P1,2026-05-15,Milestone,Product,"Retention signal for scaling GTM spend.",BETA-006,"Analytics dashboard"
KPI-009,$100K ARR trajectory (85 paying users),Robert,not-started,P2,2026-09-01,Milestone,Revenue,"Business Plan Month 10–12 target. 85 × R830 ARPU = ~R70K MRR.",SCALE-001,"Financial tracking"

# ──────────────────────────────────────────────────────────────
# ONGOING OPERATIONS
# ──────────────────────────────────────────────────────────────
OPS-001,Daily LinkedIn engagement (5–10 comments),Robert,not-started,P1,ongoing,Ops,LinkedIn,"Comment on compliance/property/finance/legal tech posts daily. Non-negotiable for organic reach.",—,"Daily habit"
OPS-004,Monthly project plan review,Robert,not-started,P1,ongoing,Ops,Management,"Review this CSV. Update statuses. Adjust dates based on actuals. Document learnings.",—,"Updated CSV committed to repo"
OPS-005,Monthly cash flow tracking,Robert,not-started,P1,ongoing,Ops,Finance,"Track actual vs projected from CASH_FLOW_PROJECTION.md. Adjust forecasts.",—,"Spreadsheet updated"
